,sigma2,sigma1,sigma_cmp,eps1,eps1_z,d_eps
0,0,144,144,0.006500000000000001,0.006500000000000001,0.0
1,0,130,144,0.007,0.006500000000000001,0.0004999999999999996
2,0,80,144,0.007200000000000001,0.006500000000000001,0.0007000000000000001
3,0,53,144,0.0074,0.006500000000000001,0.0008999999999999998
4,0,18,144,0.01,0.006500000000000001,0.0034999999999999996
5,5,182,144,0.0079,0.0079,0.0
6,5,158,144,0.0089,0.0079,0.0009999999999999992
7,5,116,144,0.0094,0.0079,0.0014999999999999996
8,5,81,144,0.0108,0.0079,0.0029
9,5,43,144,0.018000000000000002,0.0079,0.010100000000000001
10,10,193,144,0.00828,0.00828,0.0
11,10,177,144,0.0096,0.00828,0.00132
12,10,132,144,0.010199999999999999,0.00828,0.0019199999999999998
13,10,99,144,0.0107,0.00828,0.0024200000000000003
14,10,67,144,0.013900000000000001,0.00828,0.005620000000000002
15,25,268,144,0.00968,0.00968,0.0
16,25,246,144,0.0107,0.00968,0.00102
17,25,214,144,0.0111,0.00968,0.0014200000000000011
18,25,195,144,0.011800000000000001,0.00968,0.002120000000000002
19,25,180,144,0.015,0.00968,0.00532
20,50,362,144,0.014,0.014,0.0
21,50,336,144,0.0158,0.014,0.0018000000000000013
22,50,260,144,0.0173,0.014,0.003299999999999999
23,50,250,144,0.0188,0.014,0.0048000000000000004
24,100,442,144,0.0195,0.0195,0.0
25,100,426,144,0.0218,0.0195,0.0023
26,100,376,144,0.0256,0.0195,0.006100000000000001
27,100,346,144,0.030600000000000002,0.0195,0.011100000000000002
