,sigma2,eps1,theta,d_eps1,d_theta,frac,y
0,10,0.99,-4.27,0.0,0.0,,
1,10,2.23,-9.53,1.24,-5.26,-4.241935483870968,-5.241935483870968
2,10,3.9,-18.0,1.67,-8.47,-5.071856287425151,-6.071856287425151
3,10,4.79,-22.94,0.8900000000000001,-4.940000000000001,-5.55056179775281,-6.55056179775281
4,25,1.48,-2.66,0.0,0.0,,
5,25,2.16,-3.82,0.6800000000000002,-1.1599999999999997,-1.7058823529411755,-2.7058823529411757
6,25,2.87,-4.95,0.71,-1.1300000000000003,-1.5915492957746484,-2.5915492957746484
7,50,3.57,-2.55,0.0,0.0,,
8,50,4.25,-3.31,0.6800000000000002,-0.7600000000000002,-1.1176470588235294,-2.1176470588235294
9,50,5.56,-4.44,1.3099999999999996,-1.1300000000000003,-0.8625954198473288,-1.8625954198473287
10,50,6.19,-5.1,0.6300000000000008,-0.6599999999999993,-1.0476190476190452,-2.0476190476190452
